date,type,name,source,source_url
2026-01-31,special_runoff,Texas 18th Congressional District special runoff,FEC,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2026-reporting-dates/coordinated-communications-periods-special-elections-2026/
2026-02-05,special_primary,New Jersey 11th Congressional District special primary,FEC,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2026-reporting-dates/coordinated-communications-periods-special-elections-2026/
2026-03-03,state_primary,Arkansas state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-03-03,state_primary,North Carolina state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-03-03,state_primary,Texas state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-03-10,special_general,Georgia 14th Congressional District special election,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-03-10,state_primary,Mississippi state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-03-17,state_primary,Illinois state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-03-31,state_runoff,Arkansas state runoff,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-04-07,special_runoff,Georgia 14th Congressional District special runoff,FEC,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2026-reporting-dates/coordinated-communications-periods-special-elections-2026/
2026-04-07,state_runoff,Mississippi state runoff,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-04-16,special_general,New Jersey 11th Congressional District special general,FEC,https://www.fec.gov/help-candidates-and-committees/dates-and-deadlines/2026-reporting-dates/coordinated-communications-periods-special-elections-2026/
2026-05-05,state_primary,Indiana state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-05,state_primary,Ohio state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-12,state_primary,Nebraska state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-12,state_runoff,North Carolina state runoff,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-12,state_primary,West Virginia state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-16,state_primary,Louisiana state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-19,state_primary,Alabama state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-19,state_primary,Georgia state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-19,state_primary,Idaho state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-19,state_primary,Kentucky state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-19,state_primary,Oregon state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-19,state_primary,Pennsylvania state primary,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
2026-05-26,state_runoff,Texas state runoff,FVAP,https://www.fvap.gov/info/news/2026/3/1/march-2026-voter-alert
