week_start,total,reposts_count,reposts_pct,quote_truths_count,quote_truths_pct,image_only_count,image_only_pct,video_only_count,video_only_pct,campaign_endorsements_count,campaign_endorsements_pct,elections_voting_count,elections_voting_pct,immigration_border_count,immigration_border_pct,economy_trade_tariffs_count,economy_trade_tariffs_pct,fraud_waste_corruption_count,fraud_waste_corruption_pct,china_count,china_pct,iran_middle_east_count,iran_middle_east_pct,venezuela_count,venezuela_pct,russia_ukraine_count,russia_ukraine_pct,media_press_count,media_press_pct,courts_legal_investigations_count,courts_legal_investigations_pct,democrats_biden_count,democrats_biden_pct,congress_gop_count,congress_gop_pct,white_house_admin_count,white_house_admin_pct,crime_safety_count,crime_safety_pct,health_count,health_pct,polls_ratings_count,polls_ratings_pct,events_interviews_praise_count,events_interviews_praise_pct,other_count,other_pct
2026-01-04,172,44,25.58,0,0.0,12,6.98,50,29.07,7,4.07,1,0.58,0,0.0,5,2.91,4,2.33,0,0.0,2,1.16,7,4.07,2,1.16,0,0.0,5,2.91,4,2.33,2,1.16,17,9.88,1,0.58,0,0.0,0,0.0,1,0.58,8,4.65
2026-01-11,69,2,2.9,0,0.0,12,17.39,3,4.35,0,0.0,1,1.45,3,4.35,5,7.25,3,4.35,2,2.9,2,2.9,3,4.35,0,0.0,2,2.9,3,4.35,3,4.35,2,2.9,7,10.14,2,2.9,1,1.45,0,0.0,3,4.35,10,14.49
2026-01-18,291,85,29.21,0,0.0,20,6.87,72,24.74,27,9.28,1,0.34,8,2.75,4,1.37,6,2.06,6,2.06,2,0.69,0,0.0,1,0.34,2,0.69,2,0.69,3,1.03,3,1.03,17,5.84,2,0.69,0,0.0,1,0.34,4,1.37,25,8.59
2026-01-25,170,52,30.59,0,0.0,6,3.53,48,28.24,6,3.53,2,1.18,6,3.53,3,1.76,3,1.76,1,0.59,2,1.18,1,0.59,0,0.0,2,1.18,3,1.76,0,0.0,8,4.71,11,6.47,2,1.18,0,0.0,0,0.0,3,1.76,11,6.47
2026-02-01,210,66,31.43,0,0.0,15,7.14,44,20.95,12,5.71,4,1.9,3,1.43,7,3.33,2,0.95,2,0.95,5,2.38,0,0.0,0,0.0,6,2.86,3,1.43,4,1.9,2,0.95,7,3.33,4,1.9,0,0.0,2,0.95,2,0.95,20,9.52
2026-02-08,109,24,22.02,0,0.0,10,9.17,23,21.1,10,9.17,5,4.59,2,1.83,8,7.34,0,0.0,0,0.0,2,1.83,0,0.0,2,1.83,1,0.92,5,4.59,1,0.92,2,1.83,6,5.5,2,1.83,0,0.0,0,0.0,0,0.0,6,5.5
2026-02-15,146,10,6.85,0,0.0,30,20.55,14,9.59,46,31.51,2,1.37,0,0.0,10,6.85,0,0.0,0,0.0,2,1.37,0,0.0,0,0.0,1,0.68,10,6.85,6,4.11,2,1.37,9,6.16,0,0.0,0,0.0,1,0.68,0,0.0,3,2.05
2026-02-22,142,11,7.75,0,0.0,10,7.04,15,10.56,32,22.54,0,0.0,1,0.7,2,1.41,6,4.23,0,0.0,3,2.11,0,0.0,0,0.0,6,4.23,6,4.23,11,7.75,7,4.93,13,9.15,0,0.0,0,0.0,0,0.0,1,0.7,18,12.68
2026-03-01,208,10,4.81,0,0.0,84,40.38,14,6.73,4,1.92,6,2.88,6,2.88,8,3.85,5,2.4,0,0.0,16,7.69,0,0.0,1,0.48,3,1.44,1,0.48,6,2.88,6,2.88,16,7.69,2,0.96,2,0.96,0,0.0,0,0.0,18,8.65
2026-03-08,103,10,9.71,0,0.0,18,17.48,2,1.94,6,5.83,5,4.85,1,0.97,2,1.94,0,0.0,0,0.0,17,16.5,0,0.0,0,0.0,3,2.91,6,5.83,2,1.94,5,4.85,11,10.68,1,0.97,0,0.0,0,0.0,0,0.0,14,13.59
